Text,Translation,Language,Category
You have tested positive for coronavirus,আপনার কোভিড পরীক্ষা করা হয়েছে এবং আপনার কোভিড হয়েছে,Bengali,Medical Instructions
We will take you to the hospital.,আমরা আপনাকে হাসপাতাল নিয়ে যাবো,Bengali,Medical Instructions
We will transfer to you an isolation facility.,আমরা আপনাকে আলাদা করে রাখতে অন্য এক জায়গায় নিয়ে যাবো,Bengali,Medical Instructions
Do you have a fever?,আপনার কি জ্বর আছে?,Bengali,Symptoms
How many days?,কতদিন ধরে ?,Bengali,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",আপনি কি থার্মোমিটার দিয়ে জ্বর মেপেছেন? করে থাকলে সবচেয়ে বেশি তাপমাত্রা কত ছিল?,Bengali,Symptoms
Runny nose?,সর্দি আছে?,Bengali,Symptoms
Cough?,কাশি?,Bengali,Symptoms
Sore throat?,গলা ব্যথা?,Bengali,Symptoms
Difficulty breathing?,শ্বাস কষ্ট?,Bengali,Symptoms
Anosmia,নাকে কি গন্ধ কম পাচ্ছেন?,Bengali,Symptoms
Ageusia,মুখে কি স্বাদ কম লাগে?,Bengali,Symptoms
Do you have diarrhoea? How many times a day?,আপনার কি পেট খারাপ হচ্ছে? হলে এক দিনে কত বার হয়?,Bengali,Symptoms
Rash?,শরীরের কোনো জায়গায় কোনো রেশ বা চুলকানি আছে?,Bengali,Symptoms
"Any pain? Specifically, any chest pain?","আপনার কি শরীরে কোনো জায়গায় ব্যাথা আছে? বিষেশ করে, কোন বুক ব্যথা আছে?",Bengali,Symptoms
I am a doctor. I do not speak Chinese. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,我是医生。我不会讲中文。我用这个网站跟你沟通。你尽量用英语回答。谢谢,Chinese,Greetings
What's your name?,请问你的名字是？,Chinese,Greetings
Please give me your Identitification Card / Work Permit,请给我你的身份证或工作准证,Chinese,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?",过去i十四天你有跟疫情病患者接触吗？,Chinese,Contact with Others
Who? What is your relationship with them?,谁？你跟他们是什么关系？,Chinese,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),你在几天前遇见他们？,Chinese,Contact with Others
How long were you with him/her?,你跟他们见面多久？,Chinese,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.",过去十四天你有离开新加坡吗？你去哪个国家（英文）？,Chinese,Contact with Others
Do you have a fever?,你有发烧吗？,Chinese,Symptoms
"How many days?
(You may use this for multiple symptoms)",几天了？,Chinese,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",你有用温度器量吗？你最高的温度时是什么？,Chinese,Symptoms
Runny nose?,流鼻涕？,Chinese,Symptoms
Cough?,咳嗽？,Chinese,Symptoms
Sore throat?,喉咙痛？,Chinese,Symptoms
Difficulty breathing?,呼吸困难？,Chinese,Symptoms
Do you have diarrhoea? How many times a day?,有泻肚子吗？一天几次？,Chinese,Symptoms
Rash?,皮肤炎？,Chinese,Symptoms
"Any pain? Specifically, any chest pain?",任何疼痛？胸部疼痛？,Chinese,Symptoms
Point to the place.,请指痛的地方,Chinese,Symptoms
Do you have any past medical history?,你有任何历史病状吗？,Chinese,Medical Conditions
Please point to which ones.,请指出来,Chinese,Medical Conditions
Asthma,气喘,Chinese,Medical Conditions
Pneumonia,肺炎,Chinese,Medical Conditions
Hypertension,高血压,Chinese,Medical Conditions
Hyperlipidemia,高脂血症,Chinese,Medical Conditions
Diabetes,糖尿病,Chinese,Medical Conditions
Heart problems,心脏病,Chinese,Medical Conditions
Kidney problems,肾病,Chinese,Medical Conditions
Loss of Smell,闻不到任何气味,Chinese,Medical Conditions
Loss of Taste,不能尝到任何味道,Chinese,Medical Conditions
Do you have a drug allergy?,你有药物敏感吗？,Chinese,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?",你有吸烟吗？抽几根？,Chinese,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?",你有喝酒吗？喝多少？什么酒？,Chinese,Medical Conditions
"If you have any other problems, you can tell me in English.",你还有其他问题吗？可以用英语跟我说。,Chinese,Medical Conditions
I’m going to examine you.,我现在检查你的身体,Chinese,Medical Instructions
Tell me if you feel more pain.,请让我知道如果痛,Chinese,Medical Instructions
Please remove your shirt.,请把衣服脱掉,Chinese,Medical Instructions
Keep taking deep breaths through your mouth.,继续用口深呼吸,Chinese,Medical Instructions
"Say ""99"" when I listen with my stethoscope.",请你当我用听诊器的时候说‘九九九’,Chinese,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,我会把棉花放进你的鼻子。有点不舒服但不会痛,Chinese,Medical Instructions
This is to test for coronavirus,这是疫情感染测试,Chinese,Medical Instructions
Tilt your head back,把头向后移,Chinese,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.",如果检查结果证实受感染，明天我们会打电话通知你,Chinese,Medical Instructions
"If coronavirus negative, we send you SMS after 3 days",如果检查结果没有受感染，我们会在三天后发简讯给你,Chinese,Medical Instructions
"Later, you will do an X-ray",待会要做x-ray检查,Chinese,Medical Instructions
There is no sign of infection on your X-ray,幻灯片显示你没有受感染,Chinese,Medical Instructions
You can go back soon.,你很快可以回去了,Chinese,Medical Instructions
"Wait here, do not leave this area",在这里等候，别离开,Chinese,Medical Instructions
You have to stay in the hospital for a few days,你必须住院几天,Chinese,Medical Instructions
I'll give you medicine to make you feel better,我会开药让你好转,Chinese,Medical Instructions
You must not work for next 5 days.,接下来五天不能工作,Chinese,Medical Instructions
You must come back if you have problems with breathing.,如遇到呼吸有困难必须回来,Chinese,Medical Instructions
You must come back if you do not recover completely after 5 days,五天后如果没有完全康复，请回来复诊,Chinese,Medical Instructions
Read the handout carefully,请仔细阅读,Chinese,Medical Instructions
Thank you,谢谢,Chinese,Greetings
Good morning / afternoon / evening,早上好，下午好，晚上好,Chinese,Greetings
I am the nurse,我是护士,Chinese,Greetings
I am the doctor,我是医生,Chinese,Greetings
You are in the intensive care unit.,你在加护病房,Chinese,Medical Instructions
Today is Monday / Tuesday / Wednesday / Thursday / Friday / Saturday / Sunday,今天是星期一，二，三，四，五，六，星期天,Chinese,Greetings
You are getting better,你好一些了,Chinese,Greetings
We will remove the breathing tube when you are better,等你好些才把呼吸管拿掉,Chinese,Medical Instructions
You can talk after we remove the breathing tube,等我拿掉呼吸管你才讲话,Chinese,Medical Instructions
Take a deep breath,深呼吸,Chinese,Medical Instructions
Give me a big cough,大声咳嗽,Chinese,Medical Instructions
Don’t struggle,不要挣扎,Chinese,Medical Instructions
Don’t move,不要动,Chinese,Medical Instructions
Lift up your arm,提高你的手,Chinese,Medical Instructions
Lift up your leg,提高你的脚,Chinese,Medical Instructions
Squeeze my hand,挤我的手,Chinese,Medical Instructions
Show me two fingers,给我看两根手指,Chinese,Medical Instructions
Open your mouth,开嘴巴,Chinese,Medical Instructions
Stick out your tongue,伸舌头,Chinese,Medical Instructions
Open your eyes,开眼睛,Chinese,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,我要照灯检查你的眼睛。会很亮。,Chinese,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,你的肺很弱。我们要放一条呼吸管帮你呼吸,Chinese,Medical Instructions
You are going to sleep now,你睡觉吧,Chinese,Medical Instructions
We are turning you onto your belly to help your lungs expand,我们把你倒反让你的肺扩张,Chinese,Medical Instructions
We are inserting a tube to help you pass urine,我们要装一条管道让你小便,Chinese,Medical Instructions
We are inserting a tube through your nose,我们要在你的鼻子放一条管道,Chinese,Medical Instructions
We are going to give you an injection in your neck to give you medications,我们要在你的颈项的部位部位打针来给你药物,Chinese,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,我们要帮你打针在手的部位来量你的体温,Chinese,Medical Instructions
We will give you sleeping medications.,我们给你睡觉的药,Chinese,Medical Instructions
We will give you painkillers.,我们给你止痛药,Chinese,Medical Instructions
We are giving you medication to keep your blood pressure up.,我们给你药物让你的血压提高,Chinese,Medical Instructions
We are going to remove the breathing tube.,我们帮你拿掉呼吸管,Chinese,Medical Instructions
We are going to suck out your phlegm,我们帮你抽谈,Chinese,Medical Instructions
We are going to clean you with a sponge,我们帮你清洗,Chinese,Medical Instructions
​Turn left,转左,Chinese,Medical Instructions
Turn right,转右,Chinese,Medical Instructions
We will change your diapers,我们要帮你换尿布,Chinese,Medical Instructions
Lift up your leg,把脚提起来,Chinese,Medical Instructions
We are going to sit you up,我们要让你坐起来,Chinese,Medical Instructions
We are going to shift you up the bed,我们要扶你上床,Chinese,Medical Instructions
We are going to clean your mouth,我帮你清洗口,Chinese,Medical Instructions
Do not swallow the gargle,不要把液体吞下去,Chinese,Medical Instructions
I am a doctor. I do not speak Tamil. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,நான் ஒரு மருத்துவர். நான் இந்த இணையப்பக்கத்தின் மூலம் உங்களுடன் பேச போகிறேன். உங்களால் முடிந்த அளவிற்க்கு ஆங்கிலத்தில் பதில் சொல்லுங்கள்,Tamil,Greetings
What's your name?,உங்களுடைய பெயர் என்ன?,Tamil,Greetings
Please give me your Identitification Card / Work Permit,தயவுசெய்து உங்களுடைய வேலை அனுமதிச்சீட்டு அட்டையை காட்டுங்கள்,Tamil,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","கடந்த 14 நாட்களில், கொரோனாவைரஸ்சினால் பாதிக்கப்பட்ட நபருடன் தொடர்பு கொண்டீர்களா?",Tamil,Contact with Others
Who? What is your relationship with them?,எவருடன் தொடர்பு கொண்டீர்கள்? அவர்களுடன் உங்களுடைய உறவு என்ன?,Tamil,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),நீங்கள் எத்தனை நாட்களுக்கு முன்பு அவ்ரகளை சந்தித்தீர்கள்?,Tamil,Contact with Others
How long were you with him/her?,எத்தனை மணி நேரத்திற்கு நீங்கள் அவர்களுடன் இருந்தீர்கள்?,Tamil,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","கடந்த 14 நாட்களில், சிங்கப்பூரை விட்டு வெளிநாட்டிற்கு பயணம் செய்தீர்களா? ஆமாம் என்றால், நீங்கள் அவ்வாறு பயணம் செய்த நாடுகளை ஆங்கிலத்தில் குறிப்பிடவும்",Tamil,Contact with Others
Do you have a fever?,உங்களுக்கு காய்ச்சல் உள்ளதா?,Tamil,Symptoms
"How many days?
(You may use this for multiple symptoms)",எவ்வளவு நாட்கள்?,Tamil,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?",நீங்கள் வெப்பமானியை பயன்படுத்துகிறீர்களா? இதுவரையிலும் ஆக அதிகமான வெப்பநிலை என்ன?,Tamil,Symptoms
Runny nose?,​மூக்கு சலி?,Tamil,Symptoms
Cough?,இருமல்?,Tamil,Symptoms
Sore throat?,தொண்டை வலி?,Tamil,Symptoms
Difficulty breathing?,மூச்சி திணறல்?,Tamil,Symptoms
Do you have diarrhoea? How many times a day?,வயிற்று போக்கு? ஒரு நாளில் எத்தனை முறை?,Tamil,Symptoms
Rash?,சொறி அல்லது தடிப்புகள்?,Tamil,Symptoms
"Any pain? Specifically, any chest pain?",உங்களுக்கு வலி இருக்கிறதா? குறிப்பாக நெஞ்சுவலி இருக்கிறதா?,Tamil,Symptoms
Point to the place.,எங்கே வலி இருக்கிறது என்று காட்டுங்கள்,Tamil,Symptoms
Do you have any past medical history?,உங்களுக்கு ஏதாவது கடந்த மருத்துவ வரலாறு இருக்கிறதா?,Tamil,Medical Conditions
Please point to which ones.,உங்களுக்கு இவ்வற்றில் ஏதேனும் இருந்தால் எனக்கு காட்டுங்கள்,Tamil,Medical Conditions
Asthma,ஆஸ்துமா,Tamil,Medical Conditions
Pneumonia,நிமோனியா,Tamil,Medical Conditions
Hypertension,உயர் இரத்த அழுத்தம் (ஹைப்பர்டென்ஷன்),Tamil,Medical Conditions
Hyperlipidemia,கொழுப்பு,Tamil,Medical Conditions
Diabetes,நீரிழிவு நோய் (டையபீட்டிஸ்),Tamil,Medical Conditions
Heart problems,இதய பிரச்சினை,Tamil,Medical Conditions
Kidney problems,சிறுநீரக பிரச்சினை,Tamil,Medical Conditions
Loss of taste,சுவை உணர்வில்லாதல்,Tamil,Symptoms
Lost of Smell,வாசனை உணர்வில்லாதல்,Tamil,Symptoms
Do you have a drug allergy?,உங்களுக்கு மருந்து ஒவ்வாமை (allergy) ஏதாவது உண்டா?,Tamil,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?",நீங்கள் புகை பிடிப்பீர்களா? ஒரு நாளில் எத்தனை சிகரெட்டுகளைஉபயோகிப்பீர்கள்?,Tamil,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?",உங்களுக்கு குடி பழக்கம் இருக்கிறதா? ஒரு வாரத்தில் எவ்வளவு மது குடிப்பீர்கள்?,Tamil,Medical Conditions
"If you have any other problems, you can tell me in English.","உங்களுக்கு வேறு ஏதாவது மருத்துவ/உடல் நலம் சார்ந்த பிரச்சனைகள் இருந்தால், என்னிடம் ஆங்கிலத்தில் சொல்லுங்கள்",Tamil,Medical Conditions
I’m going to examine you.,நான் உங்களை பரிசோதிக்க போகிறேன்,Tamil,Medical Instructions
Tell me if you feel more pain.,"தயவுசெய்து ஏதாவது வலி தோன்றினால், என்னிடம் சொல்லுங்கள்",Tamil,Medical Instructions
Please remove your shirt.,தயவுசெய்து உங்களுடைய சட்டையை அகற்றுங்கள்,Tamil,Medical Instructions
Keep taking deep breaths through your mouth.,உங்களுடைய வாய் மூலம் ஆழமான மூச்சு எடுக்கவும்,Tamil,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","நான் இந்த ஸ்டெதாஸ்கோப்பில் உங்கள் மூச்சை கேட்கும்போது ""99"" என்று மீண்டும் மீண்டும் ஒப்பியுங்கள்",Tamil,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"நான் இந்த காட்டன் ஸ்வாபை உங்களுடைய மூக்கினுள் இட போகிறேன். இது சற்று விநோதமான உணர்வாக இருக்கும். ஆனால், இது வலிக்காது",Tamil,Medical Instructions
This is to test for coronavirus,இது கோரோனா வைரஸிர்காக சோதிக்கும்.,Tamil,Medical Instructions
Tilt your head back,உங்களுடைய தலையை சற்று பின்னால் நிமிர்த்துங்கள்,Tamil,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","உங்களுக்கு கொரோணா வைரஸ் இருந்தால், நாளை உங்களை தொலைபேசி (phone) மூலம் அழைப்போம்",Tamil,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","உங்களுக்கு கொரோணா வைரஸ் இல்லாவிட்டால், மூன்று நாட்களில் குருஞ்செய்தி (SMS) மூலம் தெரிவிப்போம்",Tamil,Medical Instructions
"Later, you will do an X-ray","பிறகு, நீங்கள் ஒரு எக்ஸ்ரே(X-ray) செய்வீர்கள்",Tamil,Medical Instructions
There is no sign of infection on your X-ray,​உங்களுடைய எக்ஸ்ரேயில் (X-Ray) தொற்று நோய் தெரியவில்லை,Tamil,Medical Instructions
You can go back soon.,நீங்கள் விரைவில் வீட்டிற்கு திரும்பிச் செல்லலாம்,Tamil,Medical Instructions
"Wait here, do not leave this area","இங்கே காத்திருங்கள், இந்த இடத்தை விட்டு வெளியேற வேண்டாம்",Tamil,Medical Instructions
You have to stay in the hospital for a few days,நீங்கள் மருத்துவமனையில் சில நாட்கள் இருக்க வேண்டும்,Tamil,Medical Instructions
We need to transfer you to another location.,நாம் இப்போது உங்களை வேறு இடத்திற்கு கூட்டிப்போக வேண்டும்,Tamil,Medical Instructions
I'll give you medicine to make you feel better,நீங்கள் குணம் அடைய நான் உங்களுக்கு மருந்து கொடுக்க போகிறேன்,Tamil,Medical Instructions
You must not work for next 5 days.,நீங்கள் அடுத்த 5 (ஐந்து) நாட்களுக்கு வேலைக்கு போக கூடாது,Tamil,Medical Instructions
You must come back if you have problems with breathing.,உங்களுக்கு சுவாசிப்பதில் சிக்கல் இருந்தால் நீங்கள் திரும்பி வர வேண்டும்.,Tamil,Medical Instructions
You must come back if you do not recover completely after 5 days,நீங்கள் 5 நாட்களுக்குப் பிறகு முழுமையாக குணமடையவில்லை என்றால் நீங்கள் திரும்பி வர வேண்டும்,Tamil,Medical Instructions
Read the handout carefully,கையேட்டை கவனமாகப் படியுங்கள்,Tamil,Medical Instructions
Thank you,"நன்றி, nandri",Tamil,Greetings
Good morning / afternoon / evening,காலை வணக்கம் / மதிய வணக்கம் / மாலை வணக்கம்,Tamil,Greetings
I am the nurse,நான் ஒரு தாதி.,Tamil,Greetings
I am the doctor,நான் ஒரு மருத்துவர்,Tamil,Greetings
You are in the intensive care unit.,நான் ஒரு மருத்துவர்,Tamil,Medical Instructions
Today is Monday,நான் ஒரு மருத்துவர்,Tamil,Greetings
Today is Tuesday,இன்றைக்கு செவ்வாய்,Tamil,Greetings
Today is Wednesday,இன்றைக்கு புதன்,Tamil,Greetings
Today is Thursday,இன்றைக்கு வியாழன்,Tamil,Greetings
Today is Friday,இன்றைக்கு வெள்ளி,Tamil,Greetings
Today is Saturday,இன்றைக்கு சனி,Tamil,Greetings
Today is Sunday,இன்றைக்கு ஞாயிறு,Tamil,Greetings
You are getting better,நீங்கள் குணம் அடைந்து வருகிறீர்கள்,Tamil,Greetings
We will remove the breathing tube when you are better,நீங்கள் குணம் அடைந்தப்பின் சுவாசக் குழாயை அகற்றுவோம்,Tamil,Medical Instructions
You can talk after we remove the breathing tube,சுவாசக் குழாயை அகற்றியப்பின் நீங்கள் பேசலாம்,Tamil,Medical Instructions
Take a deep breath,ஆழ்ந்த மூச்சு விடுங்கள்,Tamil,Medical Instructions
Give me a big cough,ஒரு பெரிய இருமல் விடுங்கள்,Tamil,Medical Instructions
Don’t struggle,அவதியுற வேண்டாம்,Tamil,Medical Instructions
Don’t move,அசையாமல் இருங்கள்,Tamil,Medical Instructions
Lift up your arm,உங்கள் கையை உயர்த்துங்கள்,Tamil,Medical Instructions
Lift up your leg,உங்கள் காலை உயர்த்துங்கள்,Tamil,Medical Instructions
Squeeze my hand,என் கையை நெருக்கமாக பிடியுங்கள்,Tamil,Medical Instructions
Show me two fingers,இரண்டு விரல்களை காட்டவும்,Tamil,Medical Instructions
Open your mouth,உங்களின் வாயைத் திறக்கவும்,Tamil,Medical Instructions
Stick out your tongue,உங்களின் நாக்கை வெளியே காட்டுங்கள்,Tamil,Medical Instructions
Open your eyes,உங்களின் கண்களை திறக்கவும்,Tamil,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,நான் இப்போது உங்கள் கண்களில் ஒளிர்விடப் போகிறேன். அது பிரகாசமாக இருக்கும்,Tamil,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,உங்கள் நுரையீரல் பாதிக்கப்பட்டிருக்கிறது. நீங்கள் சுலபமாக மூச்சு விடுவதற்கு நாங்கள் ஒரு சுவாசக் குழாயை உங்களுடைய மூக்கில் இட போகிறோம்,Tamil,Medical Instructions
You are going to sleep now,நீங்கள் இப்போது தூங்கப் போகிறீர்கள்,Tamil,Medical Instructions
We are turning you onto your belly to help your lungs expand,உங்கள் நுரையீரலை விரிவாக்குவதற்கு நாங்கள் உங்களை குப்புற படுக்க வைக்க போகிறோம்,Tamil,Medical Instructions
We are inserting a tube to help you pass urine,"
நீங்கள் சிறுநீர் கழிப்பதற்கு நாங்கள் இப்போது ஒரு குழாயை நுழைக்க போகிறோம்",Tamil,Medical Instructions
We are inserting a tube through your nose,நாங்கள் உங்கள் மூக்கின் வாயிலாக ஒரு குழாயை நுழைக்கப் போகிறோம்,Tamil,Medical Instructions
We are going to give you an injection in your neck to give you medications,உங்களுக்கு மருந்து கொடுப்பதற்காக நாங்கள் உங்கள் கழுத்தில் ஒரு ஊசி போட போகிறோம்,Tamil,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,உங்களின் இரத்த அழுத்தத்தை சோதிப்பதற்காக நாங்கள் உங்கள் கையில் ஒரு ஊசி போட போகிறோம்,Tamil,Medical Instructions
We will give you sleeping medications.,நீங்கள் தூங்குவதற்கு நாங்கள் உங்களுக்கு தூக்க மருந்து கொடுக்க போகிறோம்,Tamil,Medical Instructions
We will give you painkillers.,நாங்கள் உங்களுக்கு வலி நிவாரண மருந்து கொடுக்க போகிறோம்,Tamil,Medical Instructions
We are giving you medication to keep your blood pressure up.,உங்கள் இரத்த அழுத்தத்தை அதிகரிக்க நாங்கள் உங்களுக்கு மருந்து கொடுக்கிறோம்,Tamil,Medical Instructions
We are going to remove the breathing tube.,நாங்கள் உங்கள் மூச்சுக்குழாயை அகற்றப் போகிறோம்,Tamil,Medical Instructions
We are going to suck out your phlegm,நாங்கள் உங்களின் சலியை எடுக்கப் போகிறோம்,Tamil,Medical Instructions
We are going to clean you with a sponge,நாங்கள் உங்களை ஒரு ஸ்பஞ்சு வைத்து சுத்தம் செய்யப் போகிறோம்,Tamil,Medical Instructions
​Turn left,இடது பக்கம் திரும்பவும்,Tamil,Medical Instructions
Turn right,வலது பக்கம் திரும்பவும்,Tamil,Medical Instructions
We will change your diapers,உங்கள் டயப்பரை நாங்கள் இப்போது மாற்றுவோம்,Tamil,Medical Instructions
Lift up your leg,உங்கள் காலை உயர்த்துங்கள்,Tamil,Medical Instructions
We are going to sit you up,நாங்கள் உங்களை உட்கார வைக்கப் போகிறோம்,Tamil,Medical Instructions
We are going to shift you up the bed,நாங்கள் உங்களை படுக்கையின் மேல் பகுதிக்கு நகர்த்தப் போகிறோம்,Tamil,Medical Instructions
We are going to clean your mouth,நாங்கள் உங்கள் வாயை சுத்தம் செய்யப் போகிறோம்,Tamil,Medical Instructions
Do not swallow the gargle,நீங்கள் கொப்பிளித்த பிறகு நீங்கள் அதை முழுங்க கூடாது,Tamil,Medical Instructions
